genre,best_C,best_threshold,accuracy,f1,roc_auc
classical,0.1,0.7588722562651758,0.864,0.6582914572864321,0.8062835440614045
sleep,10.0,0.6952839650634535,0.828,0.6704980842911877,0.8370794480846775
hardcore,0.001,0.5206001264210337,0.793,0.6159554730983302,0.7951318889994096
iranian,0.1,0.7000582644152967,0.789,0.498812351543943,0.7289025798998845
jazz,1.0,0.752950152113817,0.782,0.41081081081081083,0.7588906666666667
drum-and-bass,10.0,0.7128550622326676,0.781,0.4942263279445728,0.7855843094813684
k-pop,10.0,0.7964180184284748,0.7677677677677678,0.30952380952380953,0.7957916321370138
rock,1.0,0.7570442548653827,0.764,0.20270270270270271,0.6688693333333333
show-tunes,10.0,0.7548065307900682,0.762,0.2787878787878788,0.6693175865517407
comedy,0.001,0.600354585871628,0.761,0.46770601336302897,0.6622315315919538
new-age,10.0,0.8572859354803164,0.761,0.15547703180212014,0.7012138362438098
rockabilly,0.01,0.7361454611788771,0.76,0.2727272727272727,0.7687893333333332
swedish,0.1,0.7932042308341747,0.76,0.16666666666666666,0.7187458662052689
folk,0.1,0.8321223659850372,0.755,0.07547169811320754,0.7051632088300501
spanish,1.0,0.8357704275834937,0.755,0.10256410256410256,0.7080167163303674
industrial,1.0,0.71478030080397,0.754,0.2634730538922156,0.6708684426894858
reggaeton,100.0,0.9313612840357848,0.751,0.00796812749003984,0.5818026666666667
indie,10.0,0.7868818848596721,0.751,0.18360655737704917,0.6605731225296442
synth-pop,0.1,0.674378486237031,0.75,0.038461538461538464,0.5517662327991106
opera,0.1,0.6977257207971646,0.75,0.20382165605095542,0.6201434391801075
punk,10.0,0.8096771962299634,0.75,0.015748031496062992,0.6030133333333334
disco,10.0,0.9238627461746888,0.749,0.01568627450980392,0.6742291613615143
british,0.001,0.584149823875297,0.749,0.06691449814126393,0.6615545375862869
cantopop,0.01,0.8631899973297747,0.749,0.007905138339920948,0.6932295645530939
breakbeat,0.1,0.8062779010133154,0.749,0.09386281588447654,0.6951076454168871
anime,0.01,0.6086586530677541,0.749,0.052830188679245285,0.5699152655067314
indie-pop,1.0,0.7488598390687681,0.749,0.14334470989761092,0.6255191122329813
soul,0.001,0.5331558461423166,0.749,0.3085399449035813,0.7246390196533744
latino,10.0,0.8405906970411029,0.749,0.0,0.57448
black-metal,10.0,0.7803751051201642,0.748,0.045454545454545456,0.6310664752696797
pagode,0.001,0.5444984916171505,0.748,0.015625,0.5652135854341737
alt-rock,0.1,0.7425744944610279,0.748,0.023255813953488372,0.611168144511407
salsa,0.1,0.772826400401412,0.748,0.0,0.5015026675673807
heavy-metal,0.1,0.7439302282626358,0.748,0.08029197080291971,0.6186735035824659
country,0.1,0.637307612472499,0.748,0.24550898203592814,0.5992774209486166
j-rock,1.0,0.8038471676590091,0.747,0.045283018867924525,0.6788392039832585
dance,0.1,0.739787812372346,0.747,0.03802281368821293,0.6037926042900381
detroit-techno,0.01,0.6408156139972686,0.747,0.052434456928838954,0.591414659823661
idm,0.1,0.7175935235776345,0.746,0.09929078014184398,0.5999366329581934
children,0.01,0.6740258725807612,0.746,0.0661764705882353,0.664091835078109
j-dance,1.0,0.75243698157092,0.745,0.13559322033898305,0.6499520838430796
songwriter,100.0,0.695080105386175,0.745,0.05904059040590406,0.5596236346887749
party,100.0,0.7896397744923465,0.745,0.0449438202247191,0.5532620337701613
singer-songwriter,1.0,0.8619271709389539,0.744,0.0,0.5414765100671141
happy,0.1,0.8606872817089736,0.744,0.0,0.6284326885116462
reggae,0.01,0.599520059672352,0.744,0.16339869281045752,0.6220146680875072
hardstyle,100.0,0.9174044526123531,0.743,0.007722007722007722,0.6626569119826552
dancehall,10.0,0.8216576197578933,0.742,0.044444444444444446,0.5844210317894529
death-metal,0.1,0.806098119672725,0.742,0.015267175572519083,0.631339977271656
alternative,0.01,0.6210093207051313,0.742,0.022727272727272728,0.5906647652479157
guitar,10.0,0.7615683889091593,0.742,0.2411764705882353,0.7234355509355509
brazil,10.0,0.8267865416820891,0.741,0.0,0.5320185336091435
groove,10.0,0.7697625099720199,0.741,0.2704225352112676,0.7438233641595675
chicago-house,0.01,0.6563080416221855,0.741,0.007662835249042145,0.5828560291060291
blues,1.0,0.8590172307994418,0.741,0.05818181818181818,0.6865005482115889
j-pop,0.1,0.850742246428169,0.741,0.007662835249042145,0.6691234322813269
j-idol,10.0,0.8829125576107423,0.74,0.0,0.5053798738009264
emo,1.0,0.7930098392272554,0.74,0.037037037037037035,0.6157098491800559
techno,0.1,0.8201893939337598,0.74,0.0,0.6209129893340419
rock-n-roll,10.0,0.7192368471481643,0.74,0.07801418439716312,0.5720478170478169
indian,0.1,0.7956945734370304,0.739,0.0076045627376425855,0.6013251831459101
pop-film,1.0,0.7718832555996024,0.739,0.02247191011235955,0.5932218291648566
house,10.0,0.7231196144424302,0.738,0.02962962962962963,0.5757102837007495
goth,0.01,0.6470601162430902,0.738,0.06428571428571428,0.6090604894598564
disney,1.0,0.8386122024347028,0.738,0.007575757575757576,0.642634563098782
romance,1.0,0.6877611035982977,0.738,0.28415300546448086,0.6447188542396811
punk-rock,10.0,0.6978324505704311,0.737,0.14332247557003258,0.5891721220355731
hard-rock,0.001,0.5616421002502794,0.736,0.029411764705882353,0.6536850211782828
funk,0.1,0.9120845810878672,0.736,0.0,0.6231433568417848
deep-house,100.0,0.8133307155889613,0.736,0.0,0.5984207892442385
power-pop,0.1,0.7161622813342892,0.736,0.014925373134328358,0.5723270440251572
french,0.1,0.7550772713173106,0.736,0.0896551724137931,0.678285200872802
honky-tonk,0.001,0.5199784258542276,0.736,0.07042253521126761,0.5324225743044199
club,0.1,0.72055870922929,0.735,0.02214022140221402,0.6311810359025033
psych-rock,0.01,0.6521126373440844,0.735,0.02214022140221402,0.5896649980747016
german,1.0,0.8783795053343367,0.735,0.00749063670411985,0.572944623138227
dub,100.0,0.7926862419955479,0.735,0.0,0.6135848978919631
minimal-techno,0.01,0.6365491711422376,0.734,0.06993006993006994,0.5878437136071685
edm,10.0,0.77203900893143,0.734,0.022058823529411766,0.5769297586747807
grunge,1.0,0.7430354549151685,0.733,0.0,0.573753866956219
world-music,1.0,0.7452306839545487,0.733,0.007434944237918215,0.5985817745999877
afrobeat,0.1,0.7546091091458383,0.733,0.007434944237918215,0.5809960869476143
study,1.0,0.8044445955419105,0.733,0.036101083032490974,0.6209893455098935
kids,0.001,0.5622833247070443,0.733,0.007434944237918215,0.5867656902269162
electro,1.0,0.8095741339205571,0.731,0.007380073800738007,0.5346345333326553
electronic,0.01,0.6708224516690566,0.731,0.007380073800738007,0.5585844748858448
malay,10.0,0.760517329994143,0.73,0.021739130434782608,0.5868651896395508
progressive-house,1.0,0.7644014576939981,0.727,0.042105263157894736,0.6070946708463949
bluegrass,10.0,0.7692608008256723,0.726,0.028368794326241134,0.5651044261543674
ambient,100.0,0.8553655499463143,0.726,0.0,0.5671332335706476
trip-hop,1.0,0.680929230551261,0.726,0.05517241379310345,0.5589493754503965
piano,0.01,0.7555296479870702,0.725,0.007220216606498195,0.6786006269592476
gospel,0.001,0.5667096797746691,0.725,0.054982817869415807,0.6035027018428208
sertanejo,1.0,0.8835367399625789,0.724,0.0,0.5214921630094044
metalcore,100.0,0.7221932331004058,0.724,0.19298245614035087,0.6761491593207252
tango,0.001,0.5578993256224974,0.723,0.028070175438596492,0.6129405097460218
trance,0.001,0.588285081857545,0.721,0.0,0.6883681420514558
pop,10.0,0.7352402407566683,0.721,0.027874564459930314,0.5676870345127323
samba,0.001,0.5447056443177489,0.721,0.014134275618374558,0.5882676116987314
ska,0.01,0.6566855090181621,0.721,0.0,0.5033181211263676
chill,0.01,0.6803355636612771,0.72,0.0410958904109589,0.5974214227859105
mandopop,10.0,0.8076388234301692,0.719,0.020905923344947737,0.651908789887101
grindcore,0.1,0.7557007632491425,0.719,0.014035087719298246,0.5523785011804652
garage,0.1,0.7827083740097651,0.718,0.0,0.6315538089180801
dubstep,10.0,0.9372680995027635,0.718,0.0,0.5824667514687758
turkish,0.001,0.5490079197205902,0.717,0.0,0.5600342756672396
metal,0.001,0.5258767047813672,0.716,0.0,0.5261617162204119
hip-hop,10.0,0.9134703728801011,0.715,0.0,0.5658834290660162
acoustic,0.1,0.6891922594218454,0.714,0.04666666666666667,0.5943123543123543
forro,10.0,0.6544785191561754,0.708,0.013513513513513514,0.5010590396424953
latin,1.0,0.8429041105552753,0.706,0.0,0.6042669357135616
sad,10.0,0.681009765272697,0.704,0.1912568306010929,0.6076579563833797
mpb,0.01,0.5846145049564334,0.684,0.03067484662576687,0.5195597265670258
r-n-b,1.0,0.8280034111417427,0.679,0.0,0.5470105698529412
