genre,baseline_f1,pca_f1,n_components_90,f1_diff
classical,0.6917960088691796,0.6354287724670123,8,-0.05636723640216723
sleep,0.6716141001855288,0.627595819294678,7,-0.0440182808908508
hardcore,0.6308492201039861,0.6241847060845778,9,-0.006664514019408374
k-pop,0.5915492957746479,0.5827962823896305,9,-0.008753013385017328
drum-and-bass,0.5744047619047619,0.571533974652425,8,-0.002870787252336915
rockabilly,0.5619834710743802,0.521342781791079,8,-0.04064068928330122
iranian,0.5520833333333334,0.5115507065894201,9,-0.040532626743913225
groove,0.5490196078431373,0.534856801933946,9,-0.014162805909191278
trance,0.5442708333333334,0.5392837317338642,9,-0.004987101599469135
jazz,0.5406824146981627,0.5196749210135991,9,-0.02100749368456356
guitar,0.5325077399380805,0.5032787603409139,8,-0.029228979597166638
soul,0.5291607396870555,0.5238881645661306,9,-0.005272575120924827
swedish,0.5263157894736842,0.49346467872232863,9,-0.03285111075135555
piano,0.5171339563862928,0.4655201195527766,7,-0.05161383683351617
comedy,0.5130718954248366,0.4802211817862115,7,-0.03285071363862507
metalcore,0.50187265917603,0.4524173215351223,8,-0.04945533764090765
french,0.5011337868480725,0.4828470062756707,10,-0.01828678057240185
cantopop,0.4993103448275862,0.4942904408085105,8,-0.005019904019075705
new-age,0.49877750611246946,0.4477577268123748,8,-0.05101977930009466
spanish,0.49770992366412214,0.4830078516203982,9,-0.014702072043723924
blues,0.4970691676436108,0.4636358925933551,9,-0.03343327505025573
folk,0.4963924963924964,0.4781030237500035,9,-0.018289472642492866
breakbeat,0.4948148148148148,0.4660396783032388,7,-0.028775136511576038
sad,0.49256900212314225,0.4220074528424814,9,-0.07056154928066083
r-n-b,0.4919278252611586,0.39488000654428196,9,-0.09704781871687662
mandopop,0.4894067796610169,0.4626613338983436,8,-0.026745445762673348
children,0.4845814977973568,0.4315654211370082,9,-0.05301607666034863
disney,0.48431618569636137,0.4578957242280618,9,-0.026420461468299572
mpb,0.48377125193199383,0.4021090669642044,8,-0.08166218496778943
latin,0.4837291116974494,0.4393779929442287,9,-0.04435111875322073
hard-rock,0.48318804483188044,0.4692952430984369,9,-0.013892801733443538
british,0.4830097087378641,0.483401614488571,9,0.00039190575070691125
j-pop,0.48180677540777916,0.47342065500642416,8,-0.008386120401355002
j-dance,0.4817001180637544,0.47745241686418155,9,-0.004247701199572851
garage,0.47770700636942676,0.4648364439092916,10,-0.012870562460135182
j-rock,0.4759284731774415,0.46421179530296214,8,-0.011716677874479386
acoustic,0.47477744807121663,0.44249523830350973,9,-0.032282209767706904
romance,0.47374847374847373,0.450231759433243,8,-0.023516714315230725
show-tunes,0.47115384615384615,0.4221795097498956,9,-0.04897433640395055
industrial,0.4688995215311005,0.4317920288432184,10,-0.037107492687882104
world-music,0.46855059252506837,0.43502532628154744,8,-0.033525266243520924
samba,0.46782431052093976,0.431314383364698,9,-0.03650992715624174
pop,0.46648793565683644,0.39817600243752505,8,-0.0683119332193114
disco,0.46557377049180326,0.45359736771434384,9,-0.011976402777459427
chill,0.4650735294117647,0.4239473467708762,9,-0.04112618264088852
study,0.4633663366336634,0.4545650060998585,10,-0.008801330533804885
club,0.4630541871921182,0.45283829486362315,10,-0.010215892328495069
tango,0.46236559139784944,0.4374684424642504,9,-0.024897148933599067
indie,0.4622792937399679,0.42595917685362555,9,-0.036320116886342346
gospel,0.4617067833698031,0.4062805569021354,8,-0.055426226467667705
hardstyle,0.4592391304347826,0.4556437970810173,9,-0.003595333353765273
rock,0.45919778699861685,0.4403445885013941,8,-0.01885319849722278
dub,0.4590909090909091,0.4119671441675036,9,-0.04712376492340553
happy,0.45897435897435895,0.45451082251082253,9,-0.004463536463536422
funk,0.4581497797356828,0.428553303335912,9,-0.02959647639977081
dubstep,0.4580584354382658,0.38337908103271234,10,-0.07467935440555346
bluegrass,0.4566929133858268,0.41599431007481275,9,-0.04069860331101405
reggae,0.45667125171939477,0.4309572380163373,8,-0.02571401370305748
indie-pop,0.45588235294117646,0.39390893325441106,9,-0.061973419686765396
death-metal,0.4544287548138639,0.42612945033684585,8,-0.02829930447701806
deep-house,0.45391476709613476,0.4211752125451074,8,-0.03273955455102734
forro,0.4527402700555997,0.3495915907013787,8,-0.103148679354221
hip-hop,0.451271186440678,0.4109544708165398,9,-0.04031671562413819
progressive-house,0.4507317073170732,0.42355888025467275,9,-0.02717282706240043
minimal-techno,0.44815256257449343,0.4209606462157566,8,-0.027191916358736856
techno,0.4464993394980185,0.45067824321965944,9,0.004178903721640925
black-metal,0.4449489216799092,0.4046108564136496,9,-0.040338065266259604
emo,0.44493882091212456,0.4013937456898672,9,-0.04354507522225737
indian,0.44471445929526127,0.4365762828158465,9,-0.008138176479414783
malay,0.443859649122807,0.39101900759431957,9,-0.05284064152848744
metal,0.44282238442822386,0.3843952952874671,9,-0.05842708914075678
pop-film,0.44263959390862945,0.4045702747081171,9,-0.038069319200512375
sertanejo,0.44197952218430037,0.3689045861384766,8,-0.07307493604582377
trip-hop,0.44149377593360994,0.41909599434748596,10,-0.022397781586123988
edm,0.44025157232704404,0.37329380311665905,9,-0.06695776921038499
turkish,0.43993759750390016,0.4080384840062755,9,-0.03189911349762464
grindcore,0.439873417721519,0.4067732267732268,9,-0.033100190948292196
german,0.43947858472998136,0.40165571787443755,9,-0.03782286685554381
psych-rock,0.4394506866416979,0.43088592686269955,9,-0.008564759778998343
alternative,0.4383561643835616,0.4369085279544539,9,-0.0014476364291077237
goth,0.4382775119617225,0.42046945277639197,10,-0.017808059185330516
detroit-techno,0.4373522458628842,0.3663013135306188,8,-0.07105093233226539
house,0.4372177055103884,0.39328842270616154,9,-0.043929282804226866
grunge,0.43668993020937186,0.4023144597338145,8,-0.034375470475557335
heavy-metal,0.43599493029150826,0.43199511533872437,9,-0.003999814952783898
alt-rock,0.43584521384928715,0.4201619137520817,9,-0.015683300097205477
ska,0.43539545810493346,0.37575652378025615,9,-0.05963893432467732
opera,0.43453237410071943,0.4435573183867979,8,0.009024944286078473
dance,0.43373493975903615,0.4014913574106713,8,-0.03224358234836483
rock-n-roll,0.433264887063655,0.36742828402801103,8,-0.06583660303564398
afrobeat,0.4328485885372113,0.42985014985014985,10,-0.0029984386870614554
electronic,0.432296047098402,0.40599457708113107,10,-0.026301470017270956
punk,0.432258064516129,0.35194071838084706,9,-0.08031734613528196
power-pop,0.4312431243124312,0.40258865614410705,9,-0.028654468168324176
kids,0.4305177111716621,0.43497161577900745,9,0.004453904607345349
punk-rock,0.43033509700176364,0.3676246132843268,9,-0.06271048371743687
ambient,0.4301255230125523,0.38610394055222585,8,-0.04402158246032645
electro,0.4297253634894992,0.36253927536353553,9,-0.06718608812596366
country,0.42931034482758623,0.3868582552941532,8,-0.042452089533433046
chicago-house,0.42857142857142855,0.38749666103455266,7,-0.04107476753687589
idm,0.42741208295761945,0.3775171715346068,10,-0.04989491142301267
honky-tonk,0.4245614035087719,0.3896201738962996,8,-0.03494122961247231
dancehall,0.4218600191754554,0.3931614629726758,9,-0.028698556202779613
anime,0.4182041820418204,0.41475638285004546,9,-0.0034477991917749584
party,0.4156769596199525,0.3990483754433102,8,-0.016628584176642314
songwriter,0.41527001862197394,0.38369274506066964,9,-0.0315772735613043
j-idol,0.41373801916932906,0.34555346270275283,9,-0.06818455646657623
brazil,0.41346153846153844,0.3403267242161924,9,-0.07313481424534601
singer-songwriter,0.41222707423580784,0.36277121806956475,9,-0.049455856166243095
latino,0.4106813996316759,0.35184754645507177,8,-0.05883385317660411
pagode,0.40744797371303393,0.37312398615555253,7,-0.034323987557481395
reggaeton,0.4072948328267477,0.3961385345749636,8,-0.011156298251784103
synth-pop,0.4068669527896996,0.37237127045180013,9,-0.03449568233789946
salsa,0.40298507462686567,0.3397958718548604,8,-0.06318920277200529
